2017.01.23-11.12.26		Failed		X=-312.297 Y=-83.235 Z=317.863		Grab Left
2017.01.23-11.12.26		Failed		X=-323.445 Y=-65.640 Z=318.294		Grab Right
2017.01.23-11.12.26		Failed		X=-313.410 Y=-83.628 Z=317.638		Release Left
2017.01.23-11.12.26		Failed		X=-323.304 Y=-66.243 Z=318.941		Release Right
2017.01.23-11.12.26		Failed		X=-313.729 Y=-83.669 Z=316.493		Grab Left
2017.01.23-11.12.27		Failed		X=-323.045 Y=-67.573 Z=319.206		Grab Right
2017.01.23-11.12.27		Failed		X=-313.587 Y=-83.772 Z=316.357		Release Left
2017.01.23-11.12.27		Failed		X=-322.218 Y=-69.876 Z=319.172		Release Right
2017.01.23-11.12.27		Failed		X=-313.404 Y=-82.989 Z=315.747		Grab Left
2017.01.23-11.12.27		Failed		X=-321.696 Y=-70.498 Z=319.262		Grab Right
2017.01.23-11.12.27		Failed		X=-313.600 Y=-83.822 Z=315.826		Release Left
2017.01.23-11.12.27		Failed		X=-321.540 Y=-70.794 Z=318.756		Release Right
2017.01.23-11.12.27		Failed		X=-313.822 Y=-83.827 Z=315.532		Grab Left
2017.01.23-11.12.27		Failed		X=-321.595 Y=-71.075 Z=318.573		Grab Right
2017.01.23-11.12.27		Failed		X=-314.188 Y=-83.946 Z=316.136		Release Left
2017.01.23-11.12.27		Failed		X=-314.348 Y=-84.009 Z=316.208		Grab Left
2017.01.23-11.12.27		Failed		X=-321.865 Y=-72.113 Z=318.568		Release Right
2017.01.23-11.12.27		Failed		X=-321.740 Y=-72.555 Z=318.969		Grab Right
2017.01.23-11.12.27		Failed		X=-314.652 Y=-83.517 Z=316.545		Release Left
2017.01.23-11.12.27		Failed		X=-314.648 Y=-83.766 Z=316.457		Grab Left
2017.01.23-11.12.27		Failed		X=-321.584 Y=-70.482 Z=318.938		Release Right
2017.01.23-11.12.28		Failed		X=-321.774 Y=-69.999 Z=319.242		Grab Right
2017.01.23-11.12.28		Failed		X=-313.966 Y=-84.568 Z=316.788		Release Left
2017.01.23-11.12.28		Failed		X=-313.728 Y=-84.706 Z=316.582		Grab Left
2017.01.23-11.12.28		Failed		X=-321.575 Y=-70.052 Z=319.284		Release Right
2017.01.23-11.12.28		Failed		X=-321.376 Y=-70.085 Z=319.506		Grab Right
2017.01.23-11.12.28		Failed		X=-313.497 Y=-85.117 Z=316.298		Release Left
2017.01.23-11.12.28		Failed		X=-320.589 Y=-66.440 Z=319.664		Release Right
2017.01.23-11.12.29		Success		X=-316.689 Y=-45.986 Z=323.370		Grab Right
2017.01.23-11.12.31		Success		X=-294.513 Y=-85.163 Z=362.136		Release Right
2017.01.23-11.12.32		Failed		X=-296.987 Y=-69.112 Z=323.883		Grab Right
2017.01.23-11.12.33		Failed		X=-297.050 Y=-69.220 Z=321.249		Release Right
2017.01.23-11.12.33		Success		X=-297.454 Y=-69.238 Z=321.343		Grab Right
2017.01.23-11.12.34		Success		X=-301.544 Y=-77.930 Z=369.119		Release Right
2017.01.23-11.12.35		Failed		X=-289.307 Y=-68.382 Z=321.549		Grab Right
2017.01.23-11.12.35		Failed		X=-289.832 Y=-69.040 Z=323.177		Release Right
2017.01.23-11.12.35		Failed		X=-289.550 Y=-69.387 Z=322.964		Grab Right
2017.01.23-11.12.36		Failed		X=-290.228 Y=-69.274 Z=320.741		Release Right
2017.01.23-11.12.36		Success		X=-290.429 Y=-68.939 Z=320.709		Grab Right
2017.01.23-11.12.37		Success		X=-294.715 Y=-80.532 Z=366.833		Release Right
2017.01.23-11.12.38		Failed		X=-300.893 Y=-72.078 Z=327.193		Grab Left
2017.01.23-11.12.38		Failed		X=-299.468 Y=-72.494 Z=324.099		Release Left
2017.01.23-11.12.38		Failed		X=-299.962 Y=-72.334 Z=321.196		Grab Left
2017.01.23-11.12.39		Failed		X=-300.797 Y=-71.279 Z=320.673		Release Left
2017.01.23-11.12.39		Success		X=-300.471 Y=-71.694 Z=319.075		Grab Left
2017.01.23-11.12.40		Success		X=-314.134 Y=-51.582 Z=375.400		Release Left
